id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
36,"['CSS', 'Kubernetes']",Data Science,"['AWS', 'React', 'Data Analysis']","['Mechanical Engineering', 'Electrical Engineering']",0.0
37,"['Machine Learning', 'HTML', 'TensorFlow', 'React']",AI/ML,"['Spring Boot', 'Python', 'C#', 'CSS', 'Kubernetes', 'SQL']","['Mathematics', 'Software Engineering', 'Electrical Engineering']",0.0
38,"['C#', 'HTML', 'Kubernetes']",Software Engineering,"['React', 'CSS', 'Data Analysis', 'Java', 'C#', 'Spring Boot']",['Data Science'],11.67
39,"['React', 'Spring Boot', 'Machine Learning', 'AWS']",Mechanical Engineering,"['AWS', 'HTML', 'Machine Learning', 'C#', 'CSS']",['Computer Science'],28.0
40,"['C#', 'Kubernetes', 'Python']",Mechanical Engineering,"['HTML', 'Data Analysis', 'TensorFlow']",['Data Science'],0.0
41,"['React', 'Kubernetes', 'AWS', 'Spring Boot', 'HTML']",Computer Science,"['TensorFlow', 'Docker', 'Machine Learning']","['AI/ML', 'Mathematics']",0.0
42,"['TensorFlow', 'Kubernetes']",Physics,"['Docker', 'CSS', 'TensorFlow', 'Kubernetes', 'Machine Learning', 'React']","['Mathematics', 'Software Engineering']",23.33
43,"['Spring Boot', 'C#', 'AWS', 'Kubernetes']",AI/ML,"['C#', 'Python', 'Spring Boot']",['Physics'],46.67
44,"['Python', 'Machine Learning']",Physics,"['SQL', 'Docker', 'TensorFlow', 'Kubernetes', 'Python', 'C#']",['Data Science'],11.67
45,"['C#', 'Spring Boot', 'TensorFlow', 'SQL']",Computer Science,"['Machine Learning', 'React', 'AWS', 'C#']","['AI/ML', 'Software Engineering', 'Data Science']",17.5
46,"['SQL', 'Data Analysis']",Physics,"['Data Analysis', 'Docker', 'Java']","['Software Engineering', 'Computer Science', 'Electrical Engineering']",23.33
47,"['C#', 'TensorFlow', 'Docker', 'Spring Boot']",Computer Science,"['CSS', 'SQL', 'AWS', 'Docker', 'Machine Learning']","['Computer Science', 'Data Science', 'Software Engineering']",44.0
48,"['C#', 'Kubernetes', 'React']",Electrical Engineering,"['Spring Boot', 'React', 'HTML', 'Python', 'Docker']",['Electrical Engineering'],44.0
49,"['Data Analysis', 'SQL', 'React', 'C#', 'Spring Boot']",Data Science,"['AWS', 'Spring Boot', 'HTML', 'React', 'C#']","['Physics', 'Mathematics']",42.0
50,"['Kubernetes', 'C#', 'Python', 'CSS', 'TensorFlow']",AI/ML,"['SQL', 'Kubernetes', 'Java', 'TensorFlow', 'Machine Learning', 'React']","['Data Science', 'Electrical Engineering']",23.33
51,"['Data Analysis', 'SQL', 'HTML', 'C#', 'AWS']",Electrical Engineering,"['Kubernetes', 'SQL', 'Docker', 'React']","['Computer Science', 'Mechanical Engineering']",17.5
52,"['Data Analysis', 'C#']",Physics,"['TensorFlow', 'CSS', 'Docker', 'Machine Learning', 'Python']",['Mathematics'],0.0
53,"['Docker', 'TensorFlow', 'Kubernetes']",Data Science,"['React', 'SQL', 'Java', 'HTML', 'AWS']","['AI/ML', 'Data Science']",30.0
54,"['Machine Learning', 'Python', 'TensorFlow', 'SQL']",Electrical Engineering,"['AWS', 'TensorFlow', 'Data Analysis', 'C#', 'Kubernetes']","['Mechanical Engineering', 'Mathematics', 'Computer Science']",14.0
55,"['Kubernetes', 'Python', 'Spring Boot', 'SQL']",Physics,"['React', 'Kubernetes', 'Spring Boot', 'Python', 'Data Analysis']",['AI/ML'],42.0
56,"['CSS', 'HTML']",Mechanical Engineering,"['SQL', 'Data Analysis', 'React']","['Computer Science', 'Electrical Engineering', 'AI/ML']",0.0
57,"['C#', 'HTML', 'React', 'Python']",AI/ML,"['Data Analysis', 'HTML', 'CSS', 'Docker', 'React']","['Computer Science', 'Data Science']",28.0
58,"['TensorFlow', 'Spring Boot', 'Machine Learning', 'CSS', 'SQL']",Electrical Engineering,"['Data Analysis', 'AWS', 'Python', 'C#', 'Machine Learning']","['AI/ML', 'Electrical Engineering', 'Mechanical Engineering']",44.0
59,"['C#', 'AWS']",Data Science,"['TensorFlow', 'Kubernetes', 'CSS', 'Python']","['Mathematics', 'Electrical Engineering', 'AI/ML']",0.0
60,"['React', 'HTML']",Mathematics,"['HTML', 'Java', 'C#', 'Data Analysis', 'AWS']",['AI/ML'],14.0
61,"['AWS', 'SQL']",Mathematics,"['Spring Boot', 'Kubernetes', 'Python', 'SQL', 'TensorFlow', 'Machine Learning']",['Software Engineering'],11.67
62,"['Java', 'Kubernetes', 'Python', 'SQL', 'Machine Learning']",AI/ML,"['Kubernetes', 'Data Analysis', 'React', 'AWS']",['Mechanical Engineering'],17.5
63,"['Docker', 'TensorFlow', 'Kubernetes', 'Machine Learning', 'CSS']",Mechanical Engineering,"['TensorFlow', 'Machine Learning', 'Python', 'Spring Boot', 'Java', 'Data Analysis']",['AI/ML'],23.33
64,"['TensorFlow', 'React', 'Data Analysis']",Physics,"['Kubernetes', 'Machine Learning', 'Docker', 'CSS', 'Python', 'TensorFlow']","['Software Engineering', 'Mechanical Engineering']",11.67
65,"['C#', 'TensorFlow']",Computer Science,"['Kubernetes', 'Data Analysis', 'CSS', 'Python', 'TensorFlow', 'SQL']","['Physics', 'AI/ML']",11.67
66,"['React', 'Python', 'Data Analysis']",Mechanical Engineering,"['AWS', 'C#', 'Spring Boot', 'React', 'Docker']",['Electrical Engineering'],14.0
67,"['Data Analysis', 'CSS', 'SQL']",Mechanical Engineering,"['CSS', 'C#', 'SQL', 'Java', 'React', 'Data Analysis']",['Mathematics'],35.0
68,"['Machine Learning', 'React', 'Data Analysis', 'Kubernetes']",Physics,"['Data Analysis', 'AWS', 'Machine Learning', 'Spring Boot', 'Docker']","['Mechanical Engineering', 'AI/ML']",28.0
69,"['CSS', 'Docker', 'HTML', 'AWS', 'C#']",Physics,"['Spring Boot', 'Machine Learning', 'Python', 'Kubernetes', 'Docker', 'HTML']","['Physics', 'Software Engineering', 'AI/ML']",53.33
70,"['Machine Learning', 'CSS', 'HTML', 'Java', 'React']",Mathematics,"['Machine Learning', 'Python', 'React', 'Java']","['Mechanical Engineering', 'Computer Science', 'Data Science']",52.5
71,"['Kubernetes', 'CSS', 'Machine Learning', 'Docker']",Computer Science,"['HTML', 'Python', 'AWS', 'Machine Learning', 'C#', 'React']","['Computer Science', 'Electrical Engineering']",41.67
72,"['C#', 'HTML']",Mathematics,"['Kubernetes', 'Machine Learning', 'Docker', 'Java', 'SQL']","['Computer Science', 'Electrical Engineering']",0.0
73,"['Python', 'Data Analysis', 'Java']",Electrical Engineering,"['Python', 'SQL', 'Data Analysis', 'Machine Learning', 'TensorFlow']","['Mathematics', 'Computer Science']",28.0
74,"['Kubernetes', 'Machine Learning']",Computer Science,"['Docker', 'Spring Boot', 'HTML', 'Machine Learning']","['Electrical Engineering', 'Data Science', 'Software Engineering']",17.5
75,"['React', 'SQL', 'Docker', 'AWS', 'Spring Boot']",Mechanical Engineering,"['Java', 'Docker', 'Python', 'React', 'Kubernetes', 'CSS']","['Computer Science', 'Physics']",23.33
76,"['Python', 'TensorFlow', 'Kubernetes']",Mechanical Engineering,"['Docker', 'Data Analysis', 'Machine Learning', 'CSS', 'HTML', 'SQL']","['Software Engineering', 'Computer Science', 'AI/ML']",0.0
77,"['React', 'CSS', 'AWS', 'Python']",Physics,"['React', 'Java', 'CSS', 'AWS']",['Physics'],82.5
78,"['SQL', 'Docker']",Software Engineering,"['CSS', 'Machine Learning', 'C#', 'Kubernetes']","['Mathematics', 'Computer Science', 'Data Science']",0.0
79,"['C#', 'Python']",Electrical Engineering,"['Kubernetes', 'React', 'AWS']","['Computer Science', 'Software Engineering', 'Mathematics']",0.0
80,"['Kubernetes', 'HTML']",Computer Science,"['Machine Learning', 'Kubernetes', 'Spring Boot', 'Java', 'HTML', 'SQL']",['AI/ML'],23.33
81,"['CSS', 'Docker', 'Python', 'Kubernetes', 'AWS']",Mechanical Engineering,"['TensorFlow', 'CSS', 'C#']","['Mechanical Engineering', 'Computer Science']",53.33
82,"['Java', 'Spring Boot', 'Data Analysis', 'CSS', 'HTML']",Mathematics,"['SQL', 'TensorFlow', 'CSS']",['Software Engineering'],23.33
83,"['Kubernetes', 'Machine Learning', 'C#']",Electrical Engineering,"['TensorFlow', 'React', 'AWS', 'Spring Boot', 'Docker']","['Computer Science', 'Physics', 'Electrical Engineering']",30.0
84,"['SQL', 'C#', 'CSS']",Electrical Engineering,"['C#', 'Java', 'HTML', 'TensorFlow']","['Electrical Engineering', 'Software Engineering', 'Physics']",47.5
85,"['Spring Boot', 'AWS', 'Data Analysis', 'CSS']",Mathematics,"['SQL', 'Docker', 'Java']",['Software Engineering'],0.0
86,"['CSS', 'React']",Software Engineering,"['Spring Boot', 'Data Analysis', 'React']",['AI/ML'],23.33
87,"['Machine Learning', 'Python', 'React', 'AWS']",Physics,"['Java', 'SQL', 'Data Analysis', 'TensorFlow']",['Mathematics'],0.0
88,"['Python', 'Kubernetes', 'Machine Learning']",Software Engineering,"['Java', 'SQL', 'Python']",['Mathematics'],23.33
89,"['Machine Learning', 'Kubernetes', 'Spring Boot', 'React']",Mathematics,"['TensorFlow', 'Kubernetes', 'HTML', 'AWS', 'Docker']","['Computer Science', 'Software Engineering', 'Physics']",14.0
90,"['Machine Learning', 'React', 'AWS', 'TensorFlow', 'CSS']",Mechanical Engineering,"['AWS', 'Machine Learning', 'HTML', 'Data Analysis', 'Python', 'SQL']",['Mechanical Engineering'],53.33
91,"['Data Analysis', 'Docker', 'SQL']",AI/ML,"['Spring Boot', 'React', 'C#', 'Machine Learning', 'Docker']","['Data Science', 'Mechanical Engineering']",14.0
92,"['SQL', 'Spring Boot']",AI/ML,"['Kubernetes', 'HTML', 'Data Analysis', 'Machine Learning', 'Python', 'C#']",['Software Engineering'],0.0
93,"['Kubernetes', 'TensorFlow', 'SQL']",Computer Science,"['Python', 'Machine Learning', 'Spring Boot', 'React']","['Electrical Engineering', 'Computer Science']",30.0
94,"['Docker', 'Spring Boot']",Mechanical Engineering,"['Python', 'HTML', 'CSS', 'Data Analysis', 'Docker']","['Computer Science', 'Mathematics', 'AI/ML']",14.0
95,"['Spring Boot', 'Python', 'Java', 'C#', 'Data Analysis']",Physics,"['Java', 'HTML', 'AWS', 'Kubernetes', 'Data Analysis', 'CSS']","['Software Engineering', 'Data Science', 'Mechanical Engineering']",23.33
96,"['C#', 'Data Analysis', 'TensorFlow']",Mechanical Engineering,"['Spring Boot', 'Docker', 'SQL']","['Software Engineering', 'Mathematics', 'Data Science']",0.0
97,"['Docker', 'AWS', 'Java', 'HTML']",Mechanical Engineering,"['CSS', 'Python', 'Kubernetes', 'Spring Boot', 'AWS', 'Docker']","['Mechanical Engineering', 'Data Science']",53.33
98,"['AWS', 'React', 'Data Analysis']",Mechanical Engineering,"['Docker', 'Java', 'AWS']",['Data Science'],23.33
99,"['Python', 'C#', 'SQL', 'Java']",Software Engineering,"['SQL', 'C#', 'Spring Boot']",['Physics'],46.67
100,"['AWS', 'React', 'HTML', 'Machine Learning', 'Java']",Mathematics,"['Kubernetes', 'C#', 'AWS', 'Java', 'Data Analysis', 'SQL']",['Mechanical Engineering'],23.33
101,"['CSS', 'Machine Learning', 'SQL']",Electrical Engineering,"['HTML', 'Kubernetes', 'Data Analysis', 'Machine Learning']","['Mechanical Engineering', 'Mathematics']",17.5
102,"['React', 'Data Analysis', 'C#', 'TensorFlow', 'Kubernetes']",Electrical Engineering,"['Machine Learning', 'SQL', 'TensorFlow', 'Data Analysis']","['Data Science', 'Mathematics']",35.0
103,"['Data Analysis', 'SQL']",Mathematics,"['SQL', 'React', 'Docker', 'Data Analysis']","['AI/ML', 'Data Science', 'Mathematics']",65.0
104,"['Java', 'Python', 'C#']",Software Engineering,"['Data Analysis', 'CSS', 'Kubernetes', 'AWS']","['Data Science', 'Physics', 'Computer Science']",0.0
105,"['TensorFlow', 'CSS', 'C#', 'SQL']",Physics,"['Kubernetes', 'HTML', 'Spring Boot', 'React', 'Java', 'Python']",['Mechanical Engineering'],0.0
106,"['HTML', 'CSS', 'Data Analysis', 'C#']",Mathematics,"['Machine Learning', 'TensorFlow', 'HTML', 'SQL']",['Mechanical Engineering'],17.5
107,"['SQL', 'Java']",Software Engineering,"['TensorFlow', 'SQL', 'React', 'AWS', 'C#']","['Mechanical Engineering', 'Physics']",14.0
108,"['Data Analysis', 'CSS', 'Python']",Software Engineering,"['Docker', 'Machine Learning', 'Spring Boot', 'TensorFlow']",['Mechanical Engineering'],0.0
109,"['TensorFlow', 'Data Analysis', 'Java']",Software Engineering,"['SQL', 'HTML', 'Python', 'Docker', 'TensorFlow', 'C#']",['Mechanical Engineering'],11.67
110,"['CSS', 'HTML']",Mathematics,"['React', 'CSS', 'AWS', 'Python', 'TensorFlow', 'HTML']",['Electrical Engineering'],23.33
111,"['Spring Boot', 'TensorFlow', 'CSS']",AI/ML,"['Docker', 'HTML', 'SQL', 'TensorFlow', 'CSS']","['Mechanical Engineering', 'Electrical Engineering', 'Data Science']",28.0
112,"['AWS', 'C#']",Mechanical Engineering,"['Java', 'TensorFlow', 'Machine Learning']",['Computer Science'],0.0
113,"['Docker', 'Data Analysis', 'React', 'Spring Boot', 'Python']",Computer Science,"['Data Analysis', 'Machine Learning', 'C#']",['Electrical Engineering'],23.33
114,"['Java', 'TensorFlow', 'HTML', 'Machine Learning', 'Docker']",Software Engineering,"['Data Analysis', 'Machine Learning', 'Python', 'AWS', 'Kubernetes', 'CSS']","['Mathematics', 'Electrical Engineering', 'Physics']",11.67
115,"['TensorFlow', 'Machine Learning']",Mathematics,"['Docker', 'CSS', 'AWS', 'Spring Boot', 'Machine Learning']","['Mathematics', 'AI/ML', 'Electrical Engineering']",44.0
116,"['AWS', 'C#', 'Data Analysis']",Mathematics,"['SQL', 'Docker', 'Kubernetes', 'Python']","['AI/ML', 'Data Science', 'Software Engineering']",0.0
117,"['TensorFlow', 'HTML', 'Data Analysis', 'SQL', 'Machine Learning']",Physics,"['Docker', 'HTML', 'Java', 'Python']",['Software Engineering'],17.5
118,"['React', 'Docker', 'Data Analysis', 'SQL']",Mathematics,"['CSS', 'TensorFlow', 'AWS', 'Data Analysis', 'Python']","['Physics', 'Software Engineering', 'Mathematics']",44.0
119,"['HTML', 'Spring Boot']",AI/ML,"['TensorFlow', 'SQL', 'Machine Learning', 'Java']","['Electrical Engineering', 'Mathematics']",0.0
120,"['C#', 'AWS', 'SQL']",Electrical Engineering,"['TensorFlow', 'CSS', 'HTML']",['Physics'],0.0
121,"['HTML', 'Docker']",Physics,"['C#', 'React', 'Python', 'TensorFlow', 'Java', 'Machine Learning']","['Data Science', 'Mechanical Engineering']",0.0
122,"['React', 'C#']",Mechanical Engineering,"['SQL', 'Machine Learning', 'AWS', 'Python', 'Kubernetes', 'React']","['AI/ML', 'Computer Science', 'Electrical Engineering']",11.67
123,"['Machine Learning', 'Java', 'Python']",Software Engineering,"['Kubernetes', 'React', 'Python', 'AWS', 'C#']",['Data Science'],14.0
124,"['Spring Boot', 'Docker']",Computer Science,"['Spring Boot', 'CSS', 'TensorFlow', 'SQL', 'Data Analysis']","['AI/ML', 'Physics']",14.0
125,"['Java', 'Python', 'AWS', 'CSS', 'HTML']",Computer Science,"['SQL', 'Spring Boot', 'Machine Learning', 'Java', 'HTML']","['AI/ML', 'Mechanical Engineering']",28.0
126,"['Spring Boot', 'Data Analysis', 'HTML', 'Java']",Computer Science,"['SQL', 'C#', 'Machine Learning', 'CSS']",['Software Engineering'],0.0
127,"['SQL', 'React']",Physics,"['Data Analysis', 'React', 'Docker', 'Python', 'TensorFlow']","['Mechanical Engineering', 'Software Engineering', 'AI/ML']",14.0
128,"['Data Analysis', 'React', 'Machine Learning', 'Python']",Mechanical Engineering,"['Kubernetes', 'Python', 'Docker', 'Spring Boot', 'TensorFlow']","['AI/ML', 'Data Science', 'Mathematics']",14.0
129,"['Java', 'Kubernetes', 'Machine Learning']",Software Engineering,"['Java', 'AWS', 'C#', 'Data Analysis', 'Python']","['Mathematics', 'Data Science', 'Software Engineering']",44.0
130,"['Java', 'Kubernetes', 'TensorFlow']",AI/ML,"['TensorFlow', 'CSS', 'AWS', 'Kubernetes']",['Physics'],35.0
131,"['Data Analysis', 'SQL', 'Java', 'AWS', 'Machine Learning']",Data Science,"['HTML', 'CSS', 'Spring Boot', 'C#', 'SQL', 'AWS']",['AI/ML'],23.33
132,"['Kubernetes', 'TensorFlow', 'Python', 'C#']",Mechanical Engineering,"['Java', 'React', 'Python']","['Physics', 'Mechanical Engineering']",53.33
133,"['AWS', 'Python', 'C#', 'Java', 'Docker']",Software Engineering,"['C#', 'AWS', 'Python', 'SQL', 'CSS', 'Docker']","['Electrical Engineering', 'Data Science', 'AI/ML']",46.67
134,"['SQL', 'Kubernetes', 'React', 'C#']",Software Engineering,"['Python', 'React', 'AWS', 'TensorFlow']","['Electrical Engineering', 'Data Science', 'Physics']",17.5
135,"['Python', 'Kubernetes', 'CSS', 'Docker', 'TensorFlow']",Data Science,"['React', 'AWS', 'Java', 'HTML']","['Mathematics', 'Computer Science']",0.0
136,"['Java', 'TensorFlow', 'CSS']",Physics,"['Data Analysis', 'TensorFlow', 'SQL', 'HTML', 'Python', 'Machine Learning']","['Mathematics', 'Mechanical Engineering', 'Data Science']",11.67
137,"['C#', 'Spring Boot']",Mechanical Engineering,"['Java', 'Kubernetes', 'CSS', 'React', 'Spring Boot', 'Python']","['Mechanical Engineering', 'Computer Science', 'Physics']",41.67
138,"['Kubernetes', 'C#', 'Spring Boot', 'AWS']",Computer Science,"['HTML', 'CSS', 'Docker']","['Mechanical Engineering', 'Physics', 'Software Engineering']",0.0
139,"['CSS', 'Data Analysis', 'HTML']",Data Science,"['Spring Boot', 'Data Analysis', 'Python', 'Java', 'Kubernetes']",['Mathematics'],14.0
140,"['HTML', 'Docker', 'Java', 'Kubernetes']",Computer Science,"['Docker', 'C#', 'AWS']",['Mechanical Engineering'],23.33
141,"['Kubernetes', 'TensorFlow', 'Spring Boot']",Software Engineering,"['React', 'CSS', 'Docker', 'SQL']",['Mechanical Engineering'],0.0
142,"['Spring Boot', 'Java', 'AWS', 'CSS', 'Machine Learning']",AI/ML,"['Java', 'Spring Boot', 'Data Analysis', 'AWS', 'React', 'TensorFlow']",['Mathematics'],35.0
143,"['HTML', 'CSS']",Mathematics,"['Machine Learning', 'TensorFlow', 'Spring Boot', 'Java', 'AWS']","['Data Science', 'Software Engineering']",0.0
144,"['SQL', 'C#']",Electrical Engineering,"['SQL', 'HTML', 'TensorFlow', 'Machine Learning', 'Docker', 'C#']","['AI/ML', 'Physics']",23.33
145,"['Kubernetes', 'Java', 'HTML', 'TensorFlow', 'C#']",Mechanical Engineering,"['Python', 'Machine Learning', 'C#', 'AWS', 'Kubernetes', 'CSS']",['Mechanical Engineering'],53.33
146,"['SQL', 'Python', 'Docker', 'React', 'TensorFlow']",Mathematics,"['SQL', 'CSS', 'Docker']","['Mathematics', 'Computer Science', 'Physics']",76.67
147,"['C#', 'Data Analysis', 'SQL', 'HTML', 'CSS']",Mechanical Engineering,"['CSS', 'React', 'C#', 'Machine Learning', 'AWS']","['Mathematics', 'Mechanical Engineering']",58.0
148,"['Data Analysis', 'CSS', 'Docker']",Physics,"['React', 'C#', 'HTML', 'Data Analysis']",['AI/ML'],17.5
149,"['AWS', 'Kubernetes', 'Java']",AI/ML,"['CSS', 'Data Analysis', 'Spring Boot', 'Kubernetes', 'HTML']","['Electrical Engineering', 'Software Engineering', 'Mathematics']",14.0
150,"['Data Analysis', 'Python', 'Java', 'TensorFlow']",Mechanical Engineering,"['CSS', 'React', 'AWS', 'Python']","['Software Engineering', 'AI/ML', 'Physics']",17.5
151,"['Kubernetes', 'Machine Learning', 'Data Analysis']",Data Science,"['CSS', 'Machine Learning', 'C#', 'Java', 'AWS']",['Physics'],14.0
152,"['AWS', 'HTML']",Software Engineering,"['HTML', 'CSS', 'Spring Boot', 'Python', 'Java', 'Docker']","['Software Engineering', 'Mathematics']",41.67
153,"['Machine Learning', 'TensorFlow', 'Java', 'Spring Boot', 'SQL']",Mathematics,"['Spring Boot', 'SQL', 'React', 'Docker']","['Mechanical Engineering', 'Electrical Engineering', 'Software Engineering']",35.0
154,"['SQL', 'React', 'Machine Learning']",Software Engineering,"['React', 'SQL', 'C#', 'TensorFlow']","['Software Engineering', 'AI/ML']",65.0
155,"['HTML', 'React', 'Java', 'C#', 'Python']",Software Engineering,"['TensorFlow', 'HTML', 'Kubernetes']","['Mechanical Engineering', 'Electrical Engineering']",23.33
156,"['C#', 'TensorFlow']",Mathematics,"['Java', 'HTML', 'SQL']",['Computer Science'],0.0
157,"['HTML', 'Data Analysis', 'AWS', 'Python']",AI/ML,"['Java', 'AWS', 'TensorFlow', 'C#', 'Kubernetes']",['Mechanical Engineering'],14.0
158,"['Docker', 'HTML']",Software Engineering,"['HTML', 'CSS', 'Kubernetes', 'Spring Boot', 'Docker']","['Data Science', 'AI/ML']",28.0
159,"['Java', 'Data Analysis']",Mathematics,"['Kubernetes', 'SQL', 'Spring Boot', 'Java', 'HTML', 'Machine Learning']",['AI/ML'],11.67
160,"['Machine Learning', 'HTML', 'TensorFlow', 'React', 'CSS']",Mathematics,"['C#', 'Machine Learning', 'AWS', 'Data Analysis', 'Docker']",['Software Engineering'],14.0
161,"['React', 'Machine Learning', 'Docker']",Physics,"['Python', 'Spring Boot', 'Kubernetes']","['Mathematics', 'Mechanical Engineering', 'Software Engineering']",0.0
